"rt","stimulus","response","task","condition","random","trial_type","trial_index","time_elapsed","internal_node_id","match","hp_test"
"4183.79999999702","jsPsych/img/35_big.jpg","f","test","up","0","image-keyboard-response","42","272400","0.0-12.0-2.0","incongruent","2"
"1895.1999999955297","jsPsych/img/04_big.jpg","j","test","down","0","image-keyboard-response","45","277907","0.0-12.0-2.1","incongruent","2"
"2354.5999999940395","jsPsych/img/01_big.jpg","f","test","down","0","image-keyboard-response","48","284377","0.0-12.0-2.2","incongruent","2"
"1927.8999999985099","jsPsych/img/16_big.jpg","f","test","down","0","image-keyboard-response","51","289915","0.0-12.0-2.3","incongruent","2"
"2108.60000000149","jsPsych/img/02_big.jpg","j","test","down","0","image-keyboard-response","54","295631","0.0-12.0-2.4","incongruent","2"
"1875.3000000044703","jsPsych/img/12_big.jpg","j","test","down","0","image-keyboard-response","57","301620","0.0-12.0-2.5","incongruent","2"
"2165.7999999970198","jsPsych/img/26_big.jpg","f","test","up","0","image-keyboard-response","60","307899","0.0-12.0-2.6","incongruent","2"
"1628.3999999985099","jsPsych/img/30_big.jpg","f","test","up","0","image-keyboard-response","63","313643","0.0-12.0-2.7","incongruent","2"
"1573.6000000014901","jsPsych/img/09_big.jpg","j","test","down","0","image-keyboard-response","66","318827","0.0-12.0-2.8","incongruent","2"
"1057.7000000029802","jsPsych/img/05_big.jpg","f","test","down","0","image-keyboard-response","69","323007","0.0-12.0-2.9","congruent","2"
"1543.6999999955297","jsPsych/img/14_big.jpg","j","test","down","0","image-keyboard-response","72","327164","0.0-12.0-2.10","congruent","2"
"1884.8999999985099","jsPsych/img/22_big.jpg","f","test","up","0","image-keyboard-response","75","331906","0.0-12.0-2.11","incongruent","2"
"2180.5","jsPsych/img/25_big.jpg","j","test","up","0","image-keyboard-response","78","336947","0.0-12.0-2.12","incongruent","2"
"1332.7999999970198","jsPsych/img/33_big.jpg","f","test","up","0","image-keyboard-response","81","341891","0.0-12.0-2.13","incongruent","2"
"1474.8999999985099","jsPsych/img/06_big.jpg","f","test","down","0","image-keyboard-response","84","346727","0.0-12.0-2.14","congruent","2"
