"rt","stimulus","response","task","condition","random","trial_type","trial_index","time_elapsed","internal_node_id","match","hp_test"
"447.69999998807907","jsPsych/img/29_big.jpg","j","test","up","0","image-keyboard-response","42","240232","0.0-12.0-2.0","congruent","2"
"16774.90000000596","jsPsych/img/10_big.jpg","j","test","down","0","image-keyboard-response","45","260362","0.0-12.0-2.1","incongruent","2"
"4767.5999999940395","jsPsych/img/21_big.jpg","f","test","up","0","image-keyboard-response","48","268739","0.0-12.0-2.2","congruent","2"
"8606.199999988079","jsPsych/img/25_big.jpg","j","test","up","0","image-keyboard-response","51","281453","0.0-12.0-2.3","congruent","2"
"2273","jsPsych/img/22_big.jpg","f","test","up","0","image-keyboard-response","54","286335","0.0-12.0-2.4","congruent","2"
"5265.800000011921","jsPsych/img/33_big.jpg","f","test","up","0","image-keyboard-response","57","295460","0.0-12.0-2.5","congruent","2"
"6101.5999999940395","jsPsych/img/32_big.jpg","f","test","up","0","image-keyboard-response","60","304918","0.0-12.0-2.6","congruent","2"
"4301.5999999940395","jsPsych/img/03_big.jpg","f","test","down","0","image-keyboard-response","63","312080","0.0-12.0-2.7","congruent","2"
"4840.899999976158","jsPsych/img/18_big.jpg","j","test","down","0","image-keyboard-response","66","321030","0.0-12.0-2.8","congruent","2"
"913201.099999994","jsPsych/img/36_big.jpg","j","test","up","0","image-keyboard-response","69","1236845","0.0-12.0-2.9","congruent","2"
"11118.300000011921","jsPsych/img/34_big.jpg","j","test","up","0","image-keyboard-response","72","1250574","0.0-12.0-2.10","congruent","2"
"17022","jsPsych/img/14_big.jpg","f","test","down","0","image-keyboard-response","75","1270954","0.0-12.0-2.11","incongruent","2"
"2729.0999999940395","jsPsych/img/23_big.jpg","f","test","up","0","image-keyboard-response","78","1277542","0.0-12.0-2.12","incongruent","2"
"4682.799999982119","jsPsych/img/15_big.jpg","j","test","down","0","image-keyboard-response","81","1285331","0.0-12.0-2.13","incongruent","2"
"3440.2999999821186","jsPsych/img/13_big.jpg","f","test","down","0","image-keyboard-response","84","1292382","0.0-12.0-2.14","congruent","2"
"4701.9000000059605","jsPsych/img/30_big.jpg","j","test","up","0","image-keyboard-response","87","1300443","0.0-12.0-2.15","incongruent","2"
"3382.5999999940395","jsPsych/img/28_big.jpg","j","test","up","0","image-keyboard-response","90","1306436","0.0-12.0-2.16","incongruent","2"
"6500.5","jsPsych/img/12_big.jpg","j","test","down","0","image-keyboard-response","93","1316543","0.0-12.0-2.17","congruent","2"
"4325","jsPsych/img/11_big.jpg","f","test","down","0","image-keyboard-response","96","1324227","0.0-12.0-2.18","incongruent","2"
"4881.700000017881","jsPsych/img/16_big.jpg","f","test","down","0","image-keyboard-response","99","1332966","0.0-12.0-2.19","congruent","2"
"3616.0999999940395","jsPsych/img/35_big.jpg","f","test","up","0","image-keyboard-response","102","1339942","0.0-12.0-2.20","congruent","2"
"13725.5","jsPsych/img/09_big.jpg","j","test","down","0","image-keyboard-response","105","1356975","0.0-12.0-2.21","incongruent","2"
"3047.2000000178814","jsPsych/img/19_big.jpg","j","test","up","0","image-keyboard-response","108","1362879","0.0-12.0-2.22","incongruent","2"
"4676.0999999940395","jsPsych/img/06_big.jpg","f","test","down","0","image-keyboard-response","111","1370162","0.0-12.0-2.23","incongruent","2"
"4021.5","jsPsych/img/24_big.jpg","f","test","up","0","image-keyboard-response","114","1377794","0.0-12.0-2.24","incongruent","2"
"2539.7999999821186","jsPsych/img/02_big.jpg","j","test","down","0","image-keyboard-response","117","1382943","0.0-12.0-2.25","congruent","2"
"3923.5","jsPsych/img/01_big.jpg","f","test","down","0","image-keyboard-response","120","1389975","0.0-12.0-2.26","congruent","2"
"16642.09999999404","jsPsych/img/27_big.jpg","f","test","up","0","image-keyboard-response","123","1410477","0.0-12.0-2.27","congruent","2"
"2239.5999999940395","jsPsych/img/05_big.jpg","j","test","down","0","image-keyboard-response","126","1416327","0.0-12.0-2.28","incongruent","2"
"3062.5","jsPsych/img/26_big.jpg","f","test","up","0","image-keyboard-response","129","1423495","0.0-12.0-2.29","congruent","2"
"2229.399999976158","jsPsych/img/04_big.jpg","j","test","down","0","image-keyboard-response","132","1429582","0.0-12.0-2.30","congruent","2"
"2634.5","jsPsych/img/07_big.jpg","j","test","down","0","image-keyboard-response","135","1435075","0.0-12.0-2.31","congruent","2"
"2893.5","jsPsych/img/36_big.jpg","f","test","up","0","image-keyboard-response","42","176276","0.0-12.0-2.0","incongruent","2"
"3475.5999999940395","jsPsych/img/07_big.jpg","f","test","down","0","image-keyboard-response","45","182630","0.0-12.0-2.1","congruent","2"
"2366.2999999821186","jsPsych/img/01_big.jpg","f","test","down","0","image-keyboard-response","48","187626","0.0-12.0-2.2","congruent","2"
"1397.800000011921","jsPsych/img/03_big.jpg","j","test","down","0","image-keyboard-response","51","192650","0.0-12.0-2.3","incongruent","2"
"2863.2000000178814","jsPsych/img/30_big.jpg","j","test","up","0","image-keyboard-response","54","198883","0.0-12.0-2.4","incongruent","2"
"2083.5","jsPsych/img/28_big.jpg","f","test","up","0","image-keyboard-response","57","204833","0.0-12.0-2.5","incongruent","2"
"6006.5999999940395","jsPsych/img/18_big.jpg","f","test","down","0","image-keyboard-response","60","214205","0.0-12.0-2.6","incongruent","2"
"2398.300000011921","jsPsych/img/32_big.jpg","f","test","up","0","image-keyboard-response","63","219478","0.0-12.0-2.7","congruent","2"
"2411.5999999940395","jsPsych/img/04_big.jpg","j","test","down","0","image-keyboard-response","66","225013","0.0-12.0-2.8","incongruent","2"
"1920.2000000178814","jsPsych/img/02_big.jpg","j","test","down","0","image-keyboard-response","69","230569","0.0-12.0-2.9","congruent","2"
"6209.0999999940395","jsPsych/img/10_big.jpg","j","test","down","0","image-keyboard-response","72","240149","0.0-12.0-2.10","congruent","2"
"3017.0999999940395","jsPsych/img/21_big.jpg","j","test","up","0","image-keyboard-response","75","247276","0.0-12.0-2.11","incongruent","2"
"5742.800000011921","jsPsych/img/16_big.jpg","j","test","down","0","image-keyboard-response","78","256647","0.0-12.0-2.12","incongruent","2"
"2101","jsPsych/img/29_big.jpg","f","test","up","0","image-keyboard-response","81","261357","0.0-12.0-2.13","incongruent","2"
"3478.4000000059605","jsPsych/img/24_big.jpg","j","test","up","0","image-keyboard-response","84","267454","0.0-12.0-2.14","congruent","2"
"2753.5","jsPsych/img/14_big.jpg","f","test","down","0","image-keyboard-response","87","273827","0.0-12.0-2.15","congruent","2"
"4999.4000000059605","jsPsych/img/13_big.jpg","f","test","down","0","image-keyboard-response","90","282939","0.0-12.0-2.16","incongruent","2"
"1341","jsPsych/img/12_big.jpg","j","test","down","0","image-keyboard-response","93","287399","0.0-12.0-2.17","incongruent","2"
"2075.5","jsPsych/img/27_big.jpg","j","test","up","0","image-keyboard-response","96","292601","0.0-12.0-2.18","incongruent","2"
"1410.7999999821186","jsPsych/img/15_big.jpg","f","test","down","0","image-keyboard-response","99","297637","0.0-12.0-2.19","incongruent","2"
"2656.5999999940395","jsPsych/img/34_big.jpg","j","test","up","0","image-keyboard-response","102","303174","0.0-12.0-2.20","incongruent","2"
"1653.7000000178814","jsPsych/img/25_big.jpg","j","test","up","0","image-keyboard-response","105","307702","0.0-12.0-2.21","incongruent","2"
"1670.800000011921","jsPsych/img/06_big.jpg","f","test","down","0","image-keyboard-response","108","312246","0.0-12.0-2.22","congruent","2"
"1885.1000000238419","jsPsych/img/33_big.jpg","j","test","up","0","image-keyboard-response","111","317501","0.0-12.0-2.23","congruent","2"
"2018.5999999940395","jsPsych/img/26_big.jpg","f","test","up","0","image-keyboard-response","114","322631","0.0-12.0-2.24","congruent","2"
"973.0999999940395","jsPsych/img/35_big.jpg","f","test","up","0","image-keyboard-response","117","327486","0.0-12.0-2.25","incongruent","2"
"1615.2000000178814","jsPsych/img/09_big.jpg","j","test","down","0","image-keyboard-response","120","332228","0.0-12.0-2.26","congruent","2"
"1222.5","jsPsych/img/22_big.jpg","f","test","up","0","image-keyboard-response","123","336822","0.0-12.0-2.27","congruent","2"
"2106.2000000178814","jsPsych/img/23_big.jpg","f","test","up","0","image-keyboard-response","126","342796","0.0-12.0-2.28","incongruent","2"
"1290.800000011921","jsPsych/img/11_big.jpg","f","test","down","0","image-keyboard-response","129","347208","0.0-12.0-2.29","incongruent","2"
"1439.699999988079","jsPsych/img/05_big.jpg","j","test","down","0","image-keyboard-response","132","352766","0.0-12.0-2.30","incongruent","2"
"2358.2999999821186","jsPsych/img/19_big.jpg","f","test","up","0","image-keyboard-response","135","357992","0.0-12.0-2.31","incongruent","2"
"9745","jsPsych/img/35_big.jpg","f","test","up","0","image-keyboard-response","42","350165","0.0-12.0-2.0","incongruent","2"
"5194.399999976158","jsPsych/img/24_big.jpg","j","test","up","0","image-keyboard-response","45","358972","0.0-12.0-2.1","incongruent","2"
"4429.199999988079","jsPsych/img/19_big.jpg","j","test","up","0","image-keyboard-response","48","367012","0.0-12.0-2.2","incongruent","2"
"5828.600000023842","jsPsych/img/33_big.jpg","f","test","up","0","image-keyboard-response","51","375702","0.0-12.0-2.3","incongruent","2"
"23238.69999998808","jsPsych/img/32_big.jpg","j","test","up","0","image-keyboard-response","54","402801","0.0-12.0-2.4","incongruent","2"
"11913.199999988079","jsPsych/img/01_big.jpg","f","test","down","0","image-keyboard-response","57","418326","0.0-12.0-2.5","incongruent","2"
"5176.600000023842","jsPsych/img/30_big.jpg","f","test","up","0","image-keyboard-response","60","426864","0.0-12.0-2.6","incongruent","2"
"6097.5","jsPsych/img/22_big.jpg","j","test","up","0","image-keyboard-response","63","435575","0.0-12.0-2.7","incongruent","2"
"7178.099999964237","jsPsych/img/23_big.jpg","f","test","up","0","image-keyboard-response","66","446378","0.0-12.0-2.8","incongruent","2"
"5020.699999988079","jsPsych/img/21_big.jpg","f","test","up","0","image-keyboard-response","69","454014","0.0-12.0-2.9","incongruent","2"
"4335.899999976158","jsPsych/img/36_big.jpg","j","test","up","0","image-keyboard-response","72","461212","0.0-12.0-2.10","incongruent","2"
"7139","jsPsych/img/16_big.jpg","f","test","down","0","image-keyboard-response","75","471212","0.0-12.0-2.11","congruent","2"
"3907.300000011921","jsPsych/img/10_big.jpg","f","test","down","0","image-keyboard-response","78","478483","0.0-12.0-2.12","congruent","2"
"2511.600000023842","jsPsych/img/15_big.jpg","j","test","down","0","image-keyboard-response","81","484606","0.0-12.0-2.13","congruent","2"
"3458.800000011921","jsPsych/img/25_big.jpg","f","test","up","0","image-keyboard-response","84","491177","0.0-12.0-2.14","incongruent","2"
"6025.399999976158","jsPsych/img/18_big.jpg","j","test","down","0","image-keyboard-response","87","501317","0.0-12.0-2.15","congruent","2"
"2557.600000023842","jsPsych/img/29_big.jpg","f","test","up","0","image-keyboard-response","90","506733","0.0-12.0-2.16","incongruent","2"
"11764.700000047684","jsPsych/img/13_big.jpg","j","test","down","0","image-keyboard-response","93","521859","0.0-12.0-2.17","congruent","2"
